全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,子供預かり料金種別,子供預かり料金,子供預かり料金備考,子供預かり開所時間,子供預かり閉所時間,病児保育の有無,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
122033,,市川市,アンデルセン幼稚園,ｱﾝﾃﾞﾙｾﾝﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市堀之内1丁目9-17,千葉県,市川市,堀之内1丁目,9-17,,35.75611894,139.9179131,,,,,(047)374-1751,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://andersen-kindergarten.com/,,,427
122033,,市川市,若宮幼稚園,ﾜｶﾐﾔﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市若宮3丁目53-4,千葉県,市川市,若宮3丁目,53-4,,35.72697185,139.9534368,,,,,(047)339-2057,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ichikawa-wakamiya-kg.jimdofree.com/,,,417
122033,,市川市,富貴島幼稚園,ﾌｷｼﾏﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市八幡6丁目12-12,千葉県,市川市,八幡6丁目,12-12,,35.72799194,139.9364769,,,,,(047)334-4860,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://fukishima.jp/top.html,,,410
122033,,市川市,自然幼稚園,ｼｾﾞﾝﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市市川1丁目24-21,千葉県,市川市,市川1丁目,24-21,,35.73045918,139.9103596,,,,,(047)322-4095,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ichikawashizen.wixsite.com/osanagononiwa,,,400
122033,,市川市,和光幼稚園,ﾜｺｳﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市相之川2丁目12-28,千葉県,市川市,相之川2丁目,12-28,,35.67856271,139.8959189,,,,,(047)316-1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ichikawa-wako.com/,,,401
122033,,市川市,信篤幼稚園,ｼﾝﾄｸﾖｳﾁｴﾝ,,公立幼稚園,122033,,千葉県市川市高谷1丁目8-1,千葉県,市川市,高谷1丁目,8-1,,35.70208378,139.9417121,,,,,(047)328-2325,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/edu03/1111000014.html,,,392
122033,,市川市,大洲幼稚園,ｵｵｽﾖｳﾁｴﾝ,,公立幼稚園,122033,,千葉県市川市大洲4丁目3-12,千葉県,市川市,大洲4丁目,3-12,,35.72102686,139.9096322,,,,,(047)370-3648,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/edu03/1111000012.html,,,394
122033,,市川市,南行徳幼稚園,ﾐﾅﾐｷﾞｮｳﾄｸﾖｳﾁｴﾝ,,公立幼稚園,122033,,千葉県市川市欠真間1丁目6-15,千葉県,市川市,欠真間1丁目,6-15,,35.67951768,139.9007408,,,,,(047)358-5333,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/edu03/1111000017.html,,,395
122033,,市川市,百合台幼稚園,ﾕﾘﾀﾞｲﾖｳﾁｴﾝ,,公立幼稚園,122033,,千葉県市川市曽谷6丁目10-1,千葉県,市川市,曽谷6丁目,10-1,,35.74038914,139.9256261,,,,,(047)373-8937,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/edu03/1111000013.html,,,396
122033,,市川市,新浜幼稚園,ﾆｲﾊﾏﾖｳﾁｴﾝ,,公立幼稚園,122033,,千葉県市川市行徳駅前4丁目5-2,千葉県,市川市,行徳駅前4丁目,5-2,,35.67979309,139.9169214,,,,,(047)396-2521,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/edu03/1111000016.html,,,397
122033,,市川市,塩焼幼稚園,ｼｵﾔｷﾖｳﾁｴﾝ,,公立幼稚園,122033,,千葉県市川市塩焼5丁目9-1,千葉県,市川市,塩焼5丁目,9-1,,35.68490236,139.929709,,,,,(047)397-3857,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/edu03/1111000010.html,,,398
122033,,市川市,日出学園幼稚園,ﾋﾉﾃﾞｶﾞｸｴﾝﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市菅野2丁目21-12,千葉県,市川市,菅野2丁目,21-12,,35.72997976,139.9186402,,,,,(047)322-4012,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kinder.hinode.ed.jp/,,,399
122033,,市川市,市川学園幼稚園,ｲﾁｶﾜｶﾞｸｴﾝﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市八幡5丁目1-10,千葉県,市川市,八幡5丁目,1-10,,35.72304126,139.9318648,,,,,(047)334-4770,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ichikawa-kindergarten.com/dai-ichi/,,,402
122033,,市川市,市川学園第２幼稚園,ｲﾁｶﾜｶﾞｸｴﾝﾀﾞｲﾆﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市東菅野4丁目13-1,千葉県,市川市,東菅野4丁目,13-1,,35.73202963,139.9378424,,,,,(047)339-1531,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ichikawa-kindergarten.com/daini/,,,403
122033,,市川市,みどり幼稚園,ﾐﾄﾞﾘﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市中山3丁目10-4,千葉県,市川市,中山3丁目,10-4,,35.71993161,139.9494526,,,,,(047)334-1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.midorikg.com/,,,404
122033,,市川市,国府台文化幼稚園,ｺｳﾉﾀﾞｲﾌﾞﾝｶﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市中国分3丁目6-24,千葉県,市川市,中国分3丁目,6-24,,35.75331925,139.9096856,,,,,(047)372-7005,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.kidslink.jp/kounodai-bunka/,,,405
122033,,市川市,つくし幼稚園,ﾂｸｼﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市大和田3丁目3-3,千葉県,市川市,大和田3丁目,3-3,,35.718034,139.9187727,,,,,(047)376-5922,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://tsukushi-kg.net/,,,406
122033,,市川市,昭和学院幼稚園,ｼｮｳﾜｶﾞｸｲﾝﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市宮久保1丁目3-8,千葉県,市川市,宮久保1丁目,3-8,,35.7356171,139.9308165,,,,,(047)374-8300,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.showagakuin-kg.jp/,,,407
122033,,市川市,市川聖マリヤ幼稚園,ｲﾁｶﾜｾｲﾏﾘﾔﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市八幡3丁目19-12,千葉県,市川市,八幡3丁目,19-12,,35.72454013,139.9264885,,,,,(047)323-5371,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ichikawa-stmary.org/,,,408
122033,,市川市,真間山幼稚園,ﾏﾏｻﾝﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市真間4丁目9-1,千葉県,市川市,真間4丁目,9-1,,35.74043842,139.9067301,,,,,(047)371-7251,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://mamasan.ed.jp/,,,409
122033,,市川市,共立幼稚園,ｷｮｳﾘﾂﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市新田4丁目15-27,千葉県,市川市,新田4丁目,15-27,,35.7248416,139.9095807,,,,,(047)377-0851,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://kyouritsu-youchien.com/,,,413
122033,,市川市,曽谷幼稚園,ｿﾔﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市曽谷1丁目4-1,千葉県,市川市,曽谷1丁目,4-1,,35.74045322,139.9339516,,,,,(047)371-5440,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://soya-kindergarten.jp/,,,414
122033,,市川市,大町不二幼稚園,ｵｵﾏﾁﾌｼﾞﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市大町103,千葉県,市川市,大町,103,,35.77501394,139.9585533,,,,,(047)337-8337,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://oomachi-fujiyo.com/,,,416
122033,,市川市,わかたけ幼稚園,ﾜｶﾀｹﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市北方町4丁目1798,千葉県,市川市,北方町4丁目,1798,,35.72955209,139.9565491,,,,,(047)338-1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://wakatakekids.sakura.ne.jp/,,,418
122033,,市川市,ソフィア幼稚園,ｿﾌｨｱﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市稲荷木3丁目22-5,千葉県,市川市,稲荷木3丁目,22-5,,35.71024184,139.9185136,,,,,(047)379-1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.sophia.ed.jp/#1,,,419
122033,,市川市,浄光寺幼稚園,ｼﾞｮｳｺｳｼﾞﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市大野町3丁目1917,千葉県,市川市,大野町3丁目,1917,,35.75369725,139.9553198,,,,,(047)337-8413,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.jyokoji.ed.jp/,,,421
122033,,市川市,国分幼稚園,ｺｸﾌﾞﾝﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市曽谷5丁目32-18,千葉県,市川市,曽谷5丁目,32-18,,35.75055486,139.9275302,,,,,(047)373-1481,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.kokubun-monte.jp/,,,422
122033,,市川市,いなほ幼稚園,ｲﾅﾎﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市国分3丁目4-12,千葉県,市川市,国分3丁目,4-12,,35.74283972,139.9121853,,,,,(047)373-2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://inaho.ed.jp/,,,423
122033,,市川市,築葉根幼稚園,ﾂｸﾊﾞﾈﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市北方町4丁目2171,千葉県,市川市,北方町4丁目,2171,,35.73760198,139.9569953,,,,,(047)338-4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.tukubane.ed.jp/,,,425
122033,,市川市,原木幼稚園,ﾊﾞﾗｷﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市原木1丁目8-1,千葉県,市川市,原木1丁目,8-1,,35.70339321,139.9432814,,,,,(047)327-1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.baraki-youchien.ed.jp/,,,426
122033,,市川市,東浜幼稚園,ﾋｶﾞｼﾊﾏﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市行徳駅前3丁目12-14,千葉県,市川市,行徳駅前3丁目,12-14,,35.68046201,139.9202771,,,,,(047)396-5321,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ans.co.jp/k/higashihama/,,,428
122033,,市川市,三愛幼稚園,ｻﾝｱｲﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市東国分1丁目20-12,千葉県,市川市,東国分1丁目,20-12,,35.74271306,139.9219888,,,,,(047)373-7272,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.sanaiyouchien.ed.jp/,,,429
122033,,市川市,塩浜幼稚園,ｼｵﾊﾏﾖｳﾁｴﾝ,,私立幼稚園,122033,,千葉県市川市塩浜4丁目2-28-101,千葉県,市川市,塩浜4丁目,2-28-101,,35.66283452,139.907984,,,,,(047)399-2578,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://shiohama-youchien.ed.jp/index.html,,,430
122033,,市川市,筑波大学附属聴覚特別支援学校幼稚部,ﾂｸﾊﾞﾀﾞｲｶﾞｸﾌｿﾞｸﾁｮｳｶｸﾄｸﾍﾞﾂｼｴﾝｶﾞｯｺｳﾖｳﾁﾌﾞ,,私立幼稚園,122033,,千葉県市川市国府台2丁目2-1,千葉県,市川市,国府台2丁目,2-1,,35.74219369,139.9033922,,,,,(047)371-4138,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.deaf-s.tsukuba.ac.jp/youchibu/,,,431
122033,,市川市,市川市立平田保育園,ﾋﾗﾀﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市平田1丁目20-16,千葉県,市川市,平田1丁目,20-16,,35.72473525,139.9194637,,,,,(047)324-1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1551000003.html,,,124
122033,,市川市,市川市立北方保育園,ｷﾀｶﾀﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市北方1丁目12-1,千葉県,市川市,北方1丁目,12-1,,35.72203439,139.93813,,,,,(047)334-6616,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1521000004.html,,,125
122033,,市川市,市川市立若宮保育園,ﾜｶﾐﾔﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市若宮3丁目７-6,千葉県,市川市,若宮3丁目,７-6,,35.72425714,139.9517289,,,,,(047)334-2115,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1531000004.html,,,127
122033,,市川市,市川市立大洲保育園,ｵｵｽﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市大洲2丁目3-8,千葉県,市川市,大洲2丁目,3-8,,35.71606033,139.9118171,,,,,(047)378-3331,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1511000005.html,,,128
122033,,市川市,市川市立富貴島保育園,ﾌｷｼﾏﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市八幡6丁目14-19,千葉県,市川市,八幡6丁目,14-19,,35.72846333,139.9355406,,,,,(047)336-1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1541000004.html,,,129
122033,,市川市,南八幡さくら保育園,ﾐﾅﾐﾔﾜﾀｻｸﾗﾎｲｸｴﾝ,,認可私立保育所,122033,,千葉県市川市南八幡3丁目9-1,千葉県,市川市,南八幡3丁目,9-1,,35.71921736,139.9292467,,,,,(047)314-4190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130
122033,,市川市,市川市立中国分保育園,ﾅｶｺｸﾌﾞﾝﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市中国分2丁目13-1,千葉県,市川市,中国分2丁目,13-1,,35.74875247,139.9123357,,,,,(047)372-7947,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1541000003.html,,,131
122033,,市川市,市川市立大和田保育園,ｵｵﾜﾀﾞﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市大和田4丁目4-1,千葉県,市川市,大和田4丁目,4-1,,35.71868025,139.9163734,,,,,(047)377-1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1521000005.html,,,132
122033,,市川市,市川市立新田保育園,ｼﾝﾃﾞﾝﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市新田3丁目21-1,千葉県,市川市,新田3丁目,21-1,,35.72353264,139.9118244,,,,,(047)370-4557,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1531000005.html,,,133
122033,,市川市,市川市立鬼高保育園,ｵﾆﾀｶﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市鬼高1丁目11-20,千葉県,市川市,鬼高1丁目,11-20,,35.71144831,139.9322476,,,,,(047)378-8186,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1511000006.html,,,134
122033,,市川市,市川市立行徳保育園,ｷﾞｮｳﾄｸﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市行徳駅前4丁目22-1７,千葉県,市川市,行徳駅前4丁目,22-1７,,35.678463,139.9136693,,,,,(047)395-4843,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1551000006.html,,,135
122033,,市川市,市川市立曽谷保育園,ｿﾔﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市曽谷７丁目28-15,千葉県,市川市,曽谷７丁目,28-15,,35.74847236,139.9259245,,,,,(047)373-5530,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1531000003.html,,,136
122033,,市川市,市川市立本北方保育園,ﾓﾄｷﾀｶﾀﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市本北方2丁目40-23,千葉県,市川市,本北方2丁目,40-23,,35.73016264,139.9501569,,,,,(047)338-5982,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1551000004.html,,,138
122033,,市川市,市川市立菅野保育園,ｽｶﾞﾉﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市菅野4丁目12-16,千葉県,市川市,菅野4丁目,12-16,,35.73286875,139.9272661,,,,,(047)326-4452,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1511000004.html,,,140
122033,,市川市,市川市立塩焼保育園,ｼｵﾔｷﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市塩焼2丁目2-5,千葉県,市川市,塩焼2丁目,2-5,,35.68830583,139.9263963,,,,,(047)396-0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1531000006.html,,,142
122033,,市川市,市川市立稲荷木保育園,ﾄｳｶｷﾞﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市稲荷木1丁目26-16,千葉県,市川市,稲荷木1丁目,26-16,,35.71164358,139.9246551,,,,,(047)377-5070,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1521000006.html,,,143
122033,,市川市,市川市立新田第2保育園,ｼﾝﾃﾞﾝﾀﾞｲﾆﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市新田2丁目1-24,千葉県,市川市,新田2丁目,1-24,,35.72526019,139.9164024,,,,,(047)376-9036,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1541000005.html,,,144
122033,,市川市,市川市立塩焼第2保育園,ｼｵﾔｷﾀﾞｲﾆﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市塩焼3丁目11-15,千葉県,市川市,塩焼3丁目,11-15,,35.68533269,139.9245588,,,,,(047)395-5176,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1541000006.html,,,145
122033,,市川市,市川市立塩浜保育園,ｼｵﾊﾏﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市塩浜4丁目2-10-101,千葉県,市川市,塩浜4丁目,2-10-101,,35.66312311,139.9113897,,,,,(047)397-2628,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1211000003.html,,,146
122033,,市川市,市川市立大野保育園,ｵｵﾉﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市南大野2丁目4-5,千葉県,市川市,南大野2丁目,4-5,,35.74288706,139.953028,,,,,(047)337-4551,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1511000003.html,,,147
122033,,市川市,市川市立大野保育園分園,ｵｵﾉﾎｲｸｴﾝﾌﾞﾝｴﾝ,,認可公立保育所,122033,,千葉県市川市南大野1丁目42-1,千葉県,市川市,南大野1丁目,42-1,,35.7422315,139.9505283,,,,,(047)303-8231,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1521000003.html,,,148
122033,,市川市,市川市立香取保育園,ｶﾝﾄﾞﾘﾎｲｸｴﾝ,,認可公立保育所,122033,,千葉県市川市香取2丁目6-25,千葉県,市川市,香取2丁目,6-25,,35.67957464,139.9091299,,,,,(047)357-4191,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.city.ichikawa.lg.jp/chi03/1221000003.html,,,151
