全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,設置者,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,SSID,提供エリア,URL,備考
122033,,,市川市,第1庁舎,ダイ１チョウシャ,,,,千葉県市川市八幡1丁目1-1,千葉県,市川市,八幡1丁目,1-1,,35.72178078,139.9310008,,(047)712-8569,,,,,272-8501,,,,
122033,,,市川市,第2庁舎,ダイ２チョウシャ,,,,千葉県市川市南八幡2丁目20-2,千葉県,市川市,南八幡2丁目,20-2,,35.71360134,139.9280068,,(047)712-8569,,,,,272-0023,,,,
122033,,,市川市,行徳支所,ギョウトクシショ,,,,千葉県市川市末広1丁目1-31,千葉県,市川市,末広1丁目,1-31,,35.68580724,139.9162673,,(047)712-8569,,,,,272-0192,,,,
122033,,,市川市,南行徳市民センター,ミナミギョウトクシミンセンター,,,,千葉県市川市南行徳1丁目21-1,千葉県,市川市,南行徳1丁目,21-1,,35.67163233,139.901369,,(047)712-8569,,,,,272-0138,,,,
122033,,,市川市,大柏出張所,オオガシワシュッチョウジョ,,,,千葉県市川市南大野2丁目3-19,千葉県,市川市,南大野2丁目,3-19,,35.7453302,139.953297,,(047)712-8569,,,,,272-0804,,,,
122033,,,市川市,いちかわ情報プラザ,イチカワジョウホウプラザ,,,,千葉県市川市南八幡4丁目2-5,千葉県,市川市,南八幡4丁目,2-5,,35.72053885,139.9266853,,(047)712-8569,,,,,272-0023,,,,
122033,,,市川市,市川駅行政サービスセンター,イチカワエキギョウセイサービスセンター,,,,千葉県市川市市川南1丁目1-1,千葉県,市川市,市川南1丁目,1-1,,35.72853397,139.9080647,,(047)712-8569,,,,,272-0033,,,,
122033,,,市川市,男女共同参画センター,ダンジョキョウドウサンカクセンター,,,,千葉県市川市市川1丁目24-2,千葉県,市川市,市川1丁目,24-2,,35.73010571,139.9104419,,(047)712-8569,,,,,272-0034,,,,
122033,,,市川市,アイ・リンクタウン展望施設,アイリンクタウンテンボウシセツ,,,,千葉県市川市市川南1丁目10-1,千葉県,市川市,市川南1丁目,10-1,,35.72898717,139.9064899,,(047)712-8569,,,,,,,,,
122033,,,市川市,勤労福祉センター本館,キンロウフクシセンターホンカン,,,,千葉県市川市南八幡2丁目20-1,千葉県,市川市,南八幡2丁目,20-1,,35.71375796,139.9273398,,(047)712-8569,,,,,272-0023,,,,
122033,,,市川市,勤労福祉センター分館,キンロウフクシセンターブンカン,,,,千葉県市川市南八幡5丁目20-3,千葉県,市川市,南八幡5丁目,20-3,,35.71884342,139.9211041,,(047)712-8569,,,,,272-0023,,,,
122033,,,市川市,いちかわ観光物産インフォメーション,イチカワカンコウブッサンインフォメーション,,,,千葉県市川市八幡2丁目4-8,千葉県,市川市,八幡2丁目,4-8,,35.72253853,139.9279652,,(047)712-8569,,,,,272-0021,,,,
122033,,,市川市,動植物園,ドウショクブツエン,,,,千葉県市川市大町284,千葉県,市川市,大町,284,,35.76458032,139.9663291,,(047)712-8569,,,,,272-0801,,,,
122033,,,市川市,東山魁夷記念館,ヒガシヤマカイイキネンカン,,,,千葉県市川市中山1丁目16-2,千葉県,市川市,中山1丁目,16-2,,35.72283843,139.9464399,,(047)712-8569,,,,,272-0813,,,,
122033,,,市川市,行徳野鳥観察舎あいねすと,ギョウトクヤチョウカンサツシャアイネスト,,,,千葉県市川市福栄4-22-11,千葉県,市川市,福栄,4-22-11,,35.66853381,139.9157826,,(047)712-8569,,,,,272-0137,,,,
122033,,,市川市,急病診療所,キュウビョウシンリョウジョ,,,,千葉県市川市大洲1丁目18-1,千葉県,市川市,大洲1丁目,18-1,,35.71788219,139.9108526,,(047)712-8569,,,,,272-0032,,,,
122033,,,市川市,急病診療所・ふれあいセンター,キュウビョウシンリョウジョフレアイセンター,,,,千葉県市川市大洲1丁目18-1,千葉県,市川市,大洲1丁目,18-1,,35.71803571,139.9109498,,(047)712-8569,,,,,272-0032,,,,
122033,,,市川市,全日警ホール,ゼンニッケイホール,,,,千葉県市川市八幡4丁目2-1,千葉県,市川市,八幡4丁目,2-1,,35.72352719,139.9310505,,(047)712-8569,,,,,272-0021,,,,
122033,,,市川市,中央図書館,チュウオウトショカン,,,,千葉県市川市鬼高1丁目1-4,千葉県,市川市,鬼高1丁目,1-4,,35.71545829,139.9320268,,(047)712-8569,,,,,272-0015,,,,
122033,,,市川市,こどもとしょかん,コドモトショカン,,,,千葉県市川市鬼高1丁目1-4,千葉県,市川市,鬼高1丁目,1-4,,35.71545829,139.9320268,,(047)712-8569,,,,,272-0015,,,,
122033,,,市川市,文学ミュージアム,ブンガクミュージアム,,,,千葉県市川市鬼高1丁目1-4,千葉県,市川市,鬼高1丁目,1-4,,35.71545829,139.9320268,,(047)712-8569,,,,,272-0015,,,,
122033,,,市川市,考古博物館,コウコハクブツカン,,,,千葉県市川市堀之内2丁目26-1,千葉県,市川市,堀之内2丁目,26-1,,35.758923,139.912098,,(047)712-8569,,,,,272-0837,,,,
122033,,,市川市,歴史博物館,レキシハクブツカン,,,,千葉県市川市堀之内2丁目27-1,千葉県,市川市,堀之内2丁目,27-1,,35.75985001,139.911501,,(047)712-8569,,,,,272-0837,,,,
122033,,,市川市,少年自然の家,ショウネンシゼンノイエ,,,,千葉県市川市大町280-4,千葉県,市川市,大町,280-4,,35.765966,139.966324,,(047)712-8569,,,,,272-0801,,,,
122033,,,市川市,こども発達センター,コドモハッタツセンター,,,,千葉県市川市大洲4丁目18-3,千葉県,市川市,大洲4丁目,18-3,,35.722562,139.906507,,(047)712-8569,,,,,272-0032,,,,
122033,,,市川市,宮久保老人いこいの家,ミヤクボロウジンイコウノイエ,,,,千葉県市川市宮久保4丁目2-4,千葉県,市川市,宮久保4丁目,2-4,,35.737003,139.93613,,(047)712-8569,,,,,272-0822,,,,
122033,,,市川市,国府台スポーツセンター,コウノダイスポーツセンター,,,,千葉県市川市国府台1丁目6-4,千葉県,市川市,国府台1丁目,6-4,,35.74324,139.907467,,(047)712-8569,,,,,272-0827,,,,
122033,,,市川市,塩浜市民体育館,シオハマシミンタイイクカン,,,,千葉県市川市塩浜4丁目9-1,千葉県,市川市,塩浜4丁目,9-1,,35.660878,139.914468,,(047)712-8569,,,,,272-0127,,,,
122033,,,市川市,信篤市民体育館,シントクシミンタイイクカン,,,,千葉県市川市高谷1丁目8-2,千葉県,市川市,高谷1丁目,8-2,,35.701708,139.942186,,(047)712-8569,,,,,272-0013,,,,
122033,,,市川市,東部公民館,トウブコウミンカン,,,,千葉県市川市本北方3丁目19-16,千葉県,市川市,本北方3丁目,19-16,,35.72879206,139.9508031,,(047)712-8569,,,,,272-0816,,,,
122033,,,市川市,信篤公民館,シントクコウミンカン,,,,千葉県市川市高谷1丁目8-1,千葉県,市川市,高谷1丁目,8-1,,35.70171952,139.9418089,,(047)712-8569,,,,,272-0013,,,,
122033,,,市川市,国際交流ラウンジ,コクサイコウリュウラウンジ,,,,千葉県市川市八幡2丁目4-8,千葉県,市川市,八幡2丁目,4-8,,35.72259943,139.9280104,,(047)712-8569,,,,,272-0021,,,,
122033,,,市川市,鬼高公民館,オニタカコウミンカン,,,,千葉県市川市鬼高2丁目12-23,千葉県,市川市,鬼高2丁目,12-23,,35.71323925,139.938788,,(047)712-8569,,,,,272-0015,,,,
122033,,,市川市,柏井公民館,カシワイコウミンカン,,,,千葉県市川市柏井町2丁目844,千葉県,市川市,柏井町2丁目,844,,35.74599713,139.965419,,(047)712-8569,,,,,272-0802,,,,
122033,,,市川市,若宮公民館,ワカミヤコウミンカン,,,,千葉県市川市若宮2丁目15-8,千葉県,市川市,若宮2丁目,15-8,,35.72248841,139.9557749,,(047)712-8569,,,,,272-0812,,,,
122033,,,市川市,西部公民館,セイブコウミンカン,,,,千葉県市川市中国分2丁目13-8,千葉県,市川市,中国分2丁目,13-8,,35.74937844,139.9133339,,(047)712-8569,,,,,272-0835,,,,
122033,,,市川市,曽谷公民館,ソヤコウミンカン,,,,千葉県市川市曽谷6丁目25-5,千葉県,市川市,曽谷6丁目,25-5,,35.7436543,139.9274016,,(047)712-8569,,,,,272-0832,,,,
122033,,,市川市,行徳公民館,ギョウトクコウミンカン,,,,千葉県市川市末広1丁目1-31,千葉県,市川市,末広1丁目,1-31,,35.68589455,139.9162057,,(047)712-8569,,,,,272-0121,,,,
122033,,,市川市,本行徳公民館,ホンギョウトクコウミンカン,,,,千葉県市川市本行徳12-8,千葉県,市川市,本行徳,12-8,,35.69454751,139.9182796,,(047)712-8569,,,,,272-0103,,,,
122033,,,市川市,幸公民館,サイワイコウミンカン,,,,千葉県市川市幸1丁目16-18,千葉県,市川市,幸1丁目,16-18,,35.68032306,139.9278151,,(047)712-8569,,,,,272-0123,,,,
122033,,,市川市,南行徳公民館,ミナミギョウトクコウミンカン,,,,千葉県市川市相之川1丁目3-7,千葉県,市川市,相之川1丁目,3-7,,35.68022596,139.8991279,,(047)712-8569,,,,,272-0143,,,,
122033,,,市川市,菅野公民館,スガノコウミンカン,,,,千葉県市川市菅野3丁目24-2,千葉県,市川市,菅野3丁目,24-2,,35.73261658,139.916892,,(047)712-8569,,,,,272-0824,,,,
122033,,,市川市,市川駅南公民館,イチカワエキナンコウミンカン,,,,千葉県市川市大洲4丁目18-3,千葉県,市川市,大洲4丁目,18-3,,35.72286161,139.9065434,,(047)712-8569,,,,,272-0032,,,,
122033,,,市川市,大野公民館,オオノコウミンカン,,,,千葉県市川市南大野2丁目3-19,千葉県,市川市,南大野2丁目,3-19,,35.74524561,139.953231,,(047)712-8569,,,,,272-0804,,,,
122033,,,市川市,行徳ふれあい伝承館（休憩所）,ギョウトクフレアイデンショウカンキュウケイジョ,,,,千葉県市川市本行徳37-13,千葉県,市川市,本行徳,37-13,,35.69039,139.91572,,(047)712-8569,,,,,272-0103,,,,
